date,label
2017-12-22,1.2759
2017-12-23,1.27354
2017-12-24,1.27118
2017-12-25,1.26882
2017-12-26,1.26646
2017-12-27,1.2641
2017-12-28,1.2588
2017-12-29,1.2545
2017-12-30,1.2538
2017-12-31,1.2531
2018-01-01,1.2524
2018-01-02,1.2517
2018-01-03,1.2533
2018-01-04,1.2515
2018-01-05,1.2403
2018-01-06,1.2409333333333332
2018-01-07,1.2415666666666667
2018-01-08,1.2422
2018-01-09,1.2454
2018-01-10,1.2496
2018-01-11,1.2535
2018-01-12,1.2504
2018-01-13,1.2476666666666667
2018-01-14,1.2449333333333332
2018-01-15,1.2422
2018-01-16,1.2419
2018-01-17,1.2425
2018-01-18,1.2446
2018-01-19,1.2459
2018-01-20,1.245866666666667
2018-01-21,1.2458333333333331
2018-01-22,1.2458
2018-01-23,1.2454
2018-01-24,1.2341
2018-01-25,1.2323
2018-01-26,1.2321
2018-01-27,1.2325666666666666
2018-01-28,1.2330333333333334
2018-01-29,1.2335
2018-01-30,1.2328
2018-01-31,1.2293
2018-02-01,1.2288
2018-02-02,1.238
2018-02-03,1.2414333333333334
2018-02-04,1.2448666666666666
2018-02-05,1.2483
2018-02-06,1.253
2018-02-07,1.2546
2018-02-08,1.2585
2018-02-09,1.2609
2018-02-10,1.2607
2018-02-11,1.2605
2018-02-12,1.2603
2018-02-13,1.26
2018-02-14,1.2562
2018-02-15,1.2507
2018-02-16,1.254
2018-02-17,1.25605
2018-02-18,1.2581
2018-02-19,1.26015
2018-02-20,1.2622
2018-02-21,1.2671
2018-02-22,1.2709
2018-02-23,1.2668
2018-02-24,1.2674
2018-02-25,1.268
2018-02-26,1.2686
2018-02-27,1.274
2018-02-28,1.2809
2018-03-01,1.2851
2018-03-02,1.2891
2018-03-03,1.2919666666666667
2018-03-04,1.2948333333333333
2018-03-05,1.2977
2018-03-06,1.2898
2018-03-07,1.2947
2018-03-08,1.2927
2018-03-09,1.284
2018-03-10,1.2836666666666667
2018-03-11,1.2833333333333332
2018-03-12,1.283
2018-03-13,1.2912
2018-03-14,1.2944
2018-03-15,1.3032
2018-03-16,1.3088
2018-03-17,1.3085
2018-03-18,1.3082
2018-03-19,1.3079
2018-03-20,1.3077
2018-03-21,1.2958
2018-03-22,1.2908
2018-03-23,1.2856
2018-03-24,1.2866
2018-03-25,1.2876
2018-03-26,1.2886
2018-03-27,1.2869
2018-03-28,1.2902
2018-03-29,1.2894
2018-03-30,1.2897500000000002
2018-03-31,1.2901
2018-04-01,1.29045
2018-04-02,1.2908
2018-04-03,1.2812
2018-04-04,1.2809
2018-04-05,1.2776
2018-04-06,1.2764
2018-04-07,1.2752333333333332
2018-04-08,1.274066666666667
2018-04-09,1.2729
2018-04-10,1.2618
2018-04-11,1.2584
2018-04-12,1.2596
2018-04-13,1.2597
2018-04-14,1.2591
2018-04-15,1.2585
2018-04-16,1.2579
2018-04-17,1.2552
2018-04-18,1.2614
2018-04-19,1.2633
2018-04-20,1.2728
2018-04-21,1.2763
2018-04-22,1.2798
2018-04-23,1.2833
2018-04-24,1.2828
2018-04-25,1.2869
2018-04-26,1.2862
2018-04-27,1.2857
2018-04-28,1.285
2018-04-29,1.2843
2018-04-30,1.2836
2018-05-01,1.2867
2018-05-02,1.2851
2018-05-03,1.2862
2018-05-04,1.2861
2018-05-05,1.2862
2018-05-06,1.2863
2018-05-07,1.2864
2018-05-08,1.2963
2018-05-09,1.2856
2018-05-10,1.2775
2018-05-11,1.2779
2018-05-12,1.2777666666666667
2018-05-13,1.2776333333333334
2018-05-14,1.2775
2018-05-15,1.2876
2018-05-16,1.2809
2018-05-17,1.2801
2018-05-18,1.288
2018-05-19,1.28565
2018-05-20,1.2833
2018-05-21,1.28095
2018-05-22,1.2786
2018-05-23,1.2876
2018-05-24,1.2891
2018-05-25,1.2974
2018-05-26,1.2983
2018-05-27,1.2992
2018-05-28,1.3001
2018-05-29,1.302
2018-05-30,1.2897
2018-05-31,1.2948
2018-06-01,1.2964
2018-06-02,1.2952
2018-06-03,1.294
2018-06-04,1.2928
2018-06-05,1.2993
2018-06-06,1.2913
2018-06-07,1.2972
2018-06-08,1.2962
2018-06-09,1.2972333333333332
2018-06-10,1.298266666666667
2018-06-11,1.2993
2018-06-12,1.3004
2018-06-13,1.2988
2018-06-14,1.3052
2018-06-15,1.3177
2018-06-16,1.318733333333333
2018-06-17,1.3197666666666668
2018-06-18,1.3208
2018-06-19,1.3276
2018-06-20,1.3301
2018-06-21,1.331
2018-06-22,1.3308
2018-06-23,1.3306333333333331
2018-06-24,1.330466666666667
2018-06-25,1.3303
2018-06-26,1.3306
2018-06-27,1.3307
2018-06-28,1.3267
2018-06-29,1.3168
2018-06-30,1.31645
2018-07-01,1.3161
2018-07-02,1.31575
2018-07-03,1.3154
2018-07-04,1.3143
2018-07-05,1.3129
