date,unscheduled,forecast,confcall,ChairPerson,Rate,RateDiff,RateDecision,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1984-05-22,False,False,False,Paul Volcker,10.5,0.0,0,1984-01-01,7488.167,1.9547702889620848,8.578275462219514,1984-01-01,7691.232895,0.8601541982946154,3.335599458791097,1984-03-01,51.242,0.37806813061959654,4.419945795040036,1984-04-01,103.3,0.38872691933915593,4.554655870445344,1984-04-01,-7.7,0.09999999999999964,2.499999999999999,1984-04-01,93792.0,363.0,4428.0,1984-04-01,61.0,2.1000000000000014,6.799999999999997,,,,,,,,,1984-04-01,639.0,-0.31201248049922,0.1567398119122257,6.2920660006966145,4.954213308833175,8.181868003675023,-4.2079339993033855,-5.545786691166825,-2.3181319963249774,1.3361317450535566,1.8758487909937145,0.6748726813509416
1984-07-17,False,False,False,Paul Volcker,11.25,0.25,1,1984-01-01,7488.167,1.9547702889620848,8.578275462219514,1984-01-01,7691.232895,0.8601541982946154,3.335599458791097,1984-05-01,51.602,0.23114426121243864,4.684235084089014,1984-06-01,103.7,0.19323671497584816,4.325955734406436,1984-06-01,-7.2,0.20000000000000018,2.8999999999999995,1984-06-01,94479.0,381.0,4458.0,1984-06-01,58.1,-0.5,0.6000000000000014,,,,,,,,,1984-06-01,630.0,2.4390243902439024,-3.225806451612903,6.688499934270082,5.350647242406643,8.547402913639003,-4.311500065729918,-5.649352757593357,-2.4525970863609974,0.39643393357346746,0.39643393357346746,0.36553490996397997
1984-08-21,False,False,False,Paul Volcker,11.5,0.0,0,1984-04-01,7617.547,1.7277926627437556,7.996696675409365,1984-04-01,7759.263681,0.8845238068948146,3.430785804519026,1984-06-01,51.724,0.23642494476958237,4.444399571916065,1984-07-01,104.1,0.38572806171648166,4.308617234468935,1984-07-01,-7.5,-0.2999999999999998,1.9000000000000004,1984-07-01,94789.0,310.0,4352.0,1984-07-01,56.1,-2.0,-7.5,,,,,,,,,1984-07-01,619.0,-1.746031746031746,2.145214521452145,6.744947289770458,5.823295221666818,8.901505716749977,-4.755052710229542,-5.676704778333182,-2.598494283250023,0.05644735550037616,0.47264797926017543,0.3541028031109743
1984-10-02,False,False,False,Paul Volcker,11.0,0.0,0,1984-04-01,7617.547,1.7277926627437556,7.996696675409365,1984-04-01,7759.263681,0.8845238068948146,3.430785804519026,1984-08-01,52.118,0.3291816659287338,4.000957835292245,1984-08-01,104.4,0.28818443804035676,4.295704295704307,1984-08-01,-7.5,0.0,2.0,1984-08-01,95032.0,243.0,4903.0,1984-08-01,53.0,-3.1000000000000014,-10.100000000000001,,,,,,,,,1984-08-01,567.0,-8.40064620355412,-0.8741258741258742,6.079784684834728,5.158132616731088,8.576280107490337,-4.920215315165272,-5.841867383268912,-2.423719892509663,-0.6651626049357304,-0.6651626049357304,-0.3252256092596397
1984-11-07,False,False,False,Paul Volcker,9.5,-0.5,-1,1984-07-01,7690.985,0.964063628357004,6.900837083418117,1984-07-01,7828.967378,0.8983287572850808,3.5231091369394036,1984-09-01,52.198,0.15349783184312193,3.740360918991966,1984-09-01,104.7,0.2873563218390777,4.282868525896411,1984-10-01,-7.4,-0.10000000000000053,1.4000000000000004,1984-10-01,95629.0,285.0,4109.0,1984-10-01,50.8,0.7999999999999972,-13.600000000000009,,,,,,,,,1984-10-01,687.0,3.7764350453172204,8.702531645569621,5.7214535104903534,4.832365642492758,7.775145153626086,-4.2785464895096466,-5.167634357507242,-2.2248548463739137,-0.3583311743443742,-0.3257669742383298,-0.8011349538642509
1984-12-18,False,False,False,Paul Volcker,8.5,-0.25,-1,1984-07-01,7690.985,0.964063628357004,6.900837083418117,1984-07-01,7828.967378,0.8983287572850808,3.5231091369394036,1984-10-01,52.315,0.22414651902371227,3.7893066164070954,1984-11-01,105.3,0.19029495718363734,4.1543026706231485,1984-11-01,-7.2,0.20000000000000018,1.2999999999999998,1984-11-01,95982.0,353.0,4107.0,1984-11-01,50.3,-0.5,-15.700000000000003,,,,,,,,,1984-11-01,597.0,-13.100436681222707,-7.298136645962733,5.794872056613048,4.905784188615453,6.7016323717076824,-2.9551279433869517,-3.8442158113845473,-2.0483676282923176,0.07341854612269483,0.07341854612269483,-1.0735127819184038
1985-01-18,False,False,True,Paul Volcker,8.125,0.0,0,1984-07-01,7690.985,0.964063628357004,6.900837083418117,1984-07-01,7828.967378,0.8983287572850808,3.5231091369394036,1984-11-01,52.426,0.21217624008411395,3.7666013498802497,1984-12-01,105.5,0.1899335232668593,4.043392504930961,1984-12-01,-7.3,-0.09999999999999964,1.0000000000000009,1984-12-01,96107.0,125.0,3877.0,1984-12-01,50.6,0.30000000000000426,-19.300000000000004,,,,,,,,,1984-12-01,597.0,0.0,-22.76843467011643,5.760814156822779,4.871726288825183,6.175491056676223,-2.3641858431772214,-3.253273711174817,-1.949508943323777,-0.03405789979026963,-0.03405789979026963,-0.5261413150314596
1985-02-13,False,False,False,Paul Volcker,8.375,0.125,1,1984-10-01,7754.117,0.8208571463863279,5.575799461835692,1984-10-01,7899.908234999999,0.9061330003666632,3.596650057555869,1984-12-01,52.634,0.3967497043451692,4.102056962025313,1985-01-01,105.7,0.18957345971564252,3.5259549461312525,1985-01-01,-7.3,0.0,0.7000000000000002,1985-01-01,96372.0,265.0,3699.0,1985-01-01,50.3,-0.30000000000000426,-10.200000000000003,,,,,,,,,1985-01-01,645.0,8.040201005025125,-6.657018813314037,6.221724669963162,5.290363896888355,6.218945415466747,-2.0282753300368377,-2.959636103111645,-2.031054584533253,0.46091051314038367,0.41863760806317174,0.04345435879052406
1985-03-26,False,False,False,Paul Volcker,8.5,0.125,1,1984-10-01,7754.117,0.8208571463863279,5.575799461835692,1984-10-01,7899.908234999999,0.9061330003666632,3.596650057555869,1985-01-01,52.928,0.5585743055819374,4.334798635888738,1985-02-01,106.3,0.5676442762535424,3.606237816764136,1985-02-01,-7.2,0.09999999999999964,0.5999999999999996,1985-02-01,96503.0,131.0,3346.0,1985-02-01,49.9,-0.3999999999999986,-11.399999999999999,,,,,,,,,1985-02-01,682.0,5.736434108527131,-2.0114942528735633,6.5708371807583,5.6394764076834925,6.272828538847476,-1.8041628192417,-2.7355235923165075,-2.1021714611525244,0.3491125107951376,0.3491125107951376,0.05388312338072865
1985-05-21,False,False,False,Paul Volcker,7.75,0.0,0,1985-01-01,7829.26,0.9690723005598191,4.555093389343478,1985-01-01,7971.20001,0.9024380142056245,3.6400811004176394,1985-03-01,53.39,0.3495977746034132,4.191873853479574,1985-04-01,107.0,0.18726591760299893,3.5818005808325295,1985-04-01,-7.3,-0.09999999999999964,0.40000000000000036,1985-04-01,97038.0,196.0,3246.0,1985-04-01,48.2,0.4000000000000057,-12.799999999999997,,,,,,,,,1985-04-01,620.0,-7.600596125186289,-2.97339593114241,6.389458274963156,5.49110576970695,5.763834134543957,-1.3605417250368443,-2.25889423029305,-1.9861658654560426,-0.18137890579514426,-0.1483706379765426,-0.5089944043035182
