date,FXUSDCAD,RSI
2017-07-31,1.2485,26.946107784431817
2017-08-01,1.2514,44.605967865340695
2017-08-02,1.256,46.776953793497384
2017-08-03,1.2578,54.54545454545457
2017-08-04,1.2638,49.638759031024456
2017-08-08,1.2672,55.08021390374344
2017-08-09,1.2705,55.79232855482366
2017-08-10,1.2711,52.72305909617607
2017-08-11,1.2685,51.45228215767628
2017-08-14,1.2705,53.91304347826051
2017-08-15,1.2755,47.03723125327744
2017-08-16,1.2699,39.05987688864024
2017-08-17,1.2647,39.2633228840125
2017-08-18,1.2586,42.78394534585818
2017-08-21,1.2575,40.28581150051035
2017-08-22,1.2552,44.753603754609465
2017-08-23,1.2564,45.27142369409364
2017-08-24,1.2529,44.590390597995075
2017-08-25,1.2492,40.65192956163335
2017-08-28,1.2482,39.14274160938104
