date,target,prev_decision,GDP_diff_prev,PMI_value,Employ_diff_prev,Rsales_diff_year,Unemp_diff_prev,Inertia_diff,Hsales_diff_year,Balanced_diff
2003-03-18,0,0,0.13065576705909676,48.8,-14.0,0.18766916849190873,0.0,0.0604209538416024,9.501922846407643,-0.043316393753366045
2003-03-25,0,0,0.13065576705909676,48.8,-14.0,0.18766916849190873,0.0,0.006127474488359375,9.501922846407643,-0.001335619095796492
2003-04-01,0,0,0.13065576705909676,48.8,-14.0,0.18766916849190873,0.0,0.0061274744883591525,9.501922846407643,-0.0016148786994429898
2003-04-08,0,0,0.13065576705909676,46.3,-174.0,0.10601918177700886,0.033333333333333215,0.005189071182604144,10.330086168383682,-0.0032672790645587035
2003-04-16,0,0,0.13065576705909676,46.3,-174.0,0.10601918177700886,0.033333333333333215,0.005930367065832942,10.330086168383682,-0.003734033216638455
2003-05-06,0,0,0.5167231869169835,46.1,-133.5,0.6737754307312572,-0.06666666666666672,0.011917637492585897,10.759199592546613,-0.015179292420743229
2003-06-25,-1,0,0.5167231869169835,49.0,-18.0,1.1260519206791904,-0.06666666666666643,0.01910121072891935,10.735572450795315,-0.08346059906920056
2003-08-12,0,-1,0.8933778011626672,51.0,-2.5,2.214143426436623,-0.06666666666666672,-0.09642999222917092,13.21026947536661,-0.10929193876212584
2003-09-15,0,0,0.8933778011626672,53.2,-22.5,2.5283038186621374,0.0,-0.08385068448693223,13.36400630524485,-0.05306659332424224
2003-09-16,0,0,0.8933778011626672,53.2,-22.5,2.5283038186621374,0.0,-0.002761461453816838,13.36400630524485,-0.001341754276120266
2003-10-28,0,0,0.8933778011626672,52.4,31.5,3.2554767197133563,0.06666666666666672,-0.025181328935340197,12.192487482788161,-0.08793149696582647
2003-12-09,0,0,1.6668962697110157,58.4,110.0,3.4993881885454745,0.09999999999999994,-0.06213266775156423,11.703657342561508,-0.055439735026143966
2004-01-28,0,0,1.6668962697110157,60.1,67.0,3.168747029947692,0.13333333333333316,-0.09432320121841298,11.760407297726852,0.07247316527628178
2004-03-16,0,0,1.1540457276178184,59.9,118.5,3.9171767984149577,0.06666666666666672,-0.06479064871011198,14.109115502184002,0.21253989499574732
2004-05-04,0,0,0.5729164860697553,60.6,293.0,4.400343288985253,0.03333333333333351,-0.0699047298158686,16.489759335165044,0.26000957628527144
2004-06-30,1,0,0.5729164860697553,61.4,276.0,4.13055450843604,0.0,-0.02245208327117698,16.897729736562265,0.3469552662197679
2004-08-10,1,1,0.778738758008883,59.9,77.0,2.052120325083857,0.033333333333333215,0.07963175560749686,12.333135218415713,0.2690723586778647
2004-09-21,1,1,0.778738758008883,58.5,72.0,1.6342403367457774,0.06666666666666643,0.1776648925875482,10.54101920414126,0.277653286464024
2004-11-10,1,1,0.9412472246594451,56.3,255.0,3.6721456409141515,0.0,0.24757662110641498,10.487772352160947,0.2810847095005693
2004-12-14,1,1,0.9412472246594451,56.2,205.0,3.2123371124663187,0.0,0.15219394171262834,10.581936624328529,0.14680239527381822
2005-02-02,1,1,1.0220273689720494,57.2,88.5,3.5063189221471305,0.0,0.21377246155809715,10.771924104523345,0.20475204928589275
2005-03-22,1,1,1.0220273689720494,55.5,204.0,3.5624375747351023,0.0,0.1752369217394214,8.824041100170698,0.17103281935470394
2005-05-03,1,1,1.1108825076965383,55.2,191.0,2.8837281602014495,0.06666666666666672,0.15785137618498712,6.853000048669874,0.14705595772381308
2005-06-30,1,1,1.1108825076965383,50.8,267.0,2.9096151065403024,0.10000000000000024,0.19666486765928504,4.982274945926721,0.2576037903202191
2005-08-09,1,1,0.4866044784053191,52.8,303.0,6.036971559161133,0.06666666666666672,0.1533043763631412,8.613153929041813,0.14996195878284713
2005-09-20,1,1,0.4866044784053191,52.4,278.0,4.700584231034915,0.06666666666666643,0.21640589935240984,9.394736559624125,0.12574254855895228
2005-11-01,1,1,0.7856219802722447,56.8,135.0,2.5080151809880906,0.0,0.22675157131241974,8.989114169112794,0.15028873982336055
2005-12-13,1,1,0.7856219802722447,56.7,213.5,1.722030471280148,-0.033333333333333215,0.18758343769109542,7.605982278296111,0.14550150784802796
2006-01-31,1,1,0.5679282383580309,55.1,247.0,1.9099648112154857,0.033333333333333215,0.21148443618471946,6.7517820041589935,0.16432941634280862
2006-03-28,1,1,0.5679282383580309,55.8,294.0,3.641557922736739,0.06666666666666672,0.2328827775554192,3.4986386800162848,0.09638279307260689
2006-05-10,1,1,1.3486661199029426,55.2,234.0,2.7924018511785653,0.0,0.18656342393874814,0.402674782064999,0.05015226145492324
2006-06-29,1,1,1.3486661199029426,53.7,98.5,2.5200369040258144,0.06666666666666672,0.15501113624636664,-1.195509177174548,0.13379675763996968
2006-08-08,0,1,0.24558373055836397,53.0,138.0,-0.3192300070602858,0.0,0.1250224786194294,-8.01681650666688,0.13434020920778877
2006-09-20,0,0,0.24558373055836397,53.7,184.5,0.2983747147329976,-0.03333333333333351,0.0899838615151003,-10.045015766365673,0.15863015513337508
2006-10-25,0,0,0.24558373055836397,52.2,161.5,1.6991356504502377,0.033333333333333215,0.013869186717009097,-11.778277763325049,0.1302891303487339
2006-12-12,0,0,0.15045618810949946,50.3,110.0,2.085320779153112,0.06666666666666672,0.025093202363238643,-16.135821496233888,0.09076539181888954
2007-01-31,0,0,0.8437116963573579,51.4,198.5,1.780984865790528,0.033333333333333215,0.06177959605559602,-17.73662352997623,0.026120447455052265
2007-03-21,0,0,0.8437116963573579,51.9,154.5,-0.05695527351436373,0.0,-0.007068876623551823,-19.744550489006325,0.09575348646085935
2007-05-09,0,0,0.29359886061897444,52.6,142.0,0.1420504095143419,0.033333333333333215,-0.042282466554785625,-21.37260796129947,0.09917740278823928
2007-06-28,0,0,0.29359886061897444,52.5,100.0,0.5545193727239421,0.033333333333333215,0.0334249061528018,-21.948913970099913,-0.07567548472610675
2007-08-07,0,0,0.6384345300807129,52.4,22.5,0.39824764762096854,-0.06666666666666672,0.053081666703735486,-21.892077855935252,-0.11110434089262267
2007-08-10,0,0,0.6384345300807129,52.4,22.5,0.39824764762096854,-0.06666666666666672,0.00220167754810241,-21.892077855935252,-0.008311312086499711
2007-08-16,0,0,0.6384345300807129,52.4,22.5,0.39824764762096854,-0.06666666666666672,0.00440335509620704,-21.892077855935252,-0.0166226241730012
2007-09-18,-1,0,0.6384345300807129,50.9,-27.0,0.8315167268759983,-0.06666666666666643,0.01402844210651466,-23.136568492423113,-0.08305991817084024
2007-10-31,-1,-1,0.6023066574509698,51.0,28.5,1.0263154202922404,-0.03333333333333351,-0.20158844759776118,-24.315930216098334,-0.11932837458454326
2007-12-06,0,-1,0.6023066574509698,50.5,94.5,1.0408094300706994,-0.03333333333333351,-0.27186604926994873,-25.306518592016648,-0.029791397176856194
2007-12-11,-1,0,0.6023066574509698,50.5,94.5,1.0408094300706994,-0.03333333333333351,-0.038125667838650124,-25.306518592016648,-0.0009700275644011214
2008-01-09,0,-1,0.6023066574509698,49.0,109.0,-0.06008446645114163,-0.09999999999999994,-0.18538401055190423,-26.850250392448288,0.010934308217430022
2008-01-21,-1,0,0.6023066574509698,49.0,109.0,-0.06008446645114163,-0.09999999999999994,-0.06934877417529339,-26.850250392448288,0.015867729788120677
2008-01-30,-1,-1,0.6023066574509698,49.0,109.0,-0.06008446645114163,-0.09999999999999994,-0.10613431314285648,-26.850250392448288,0.007700305638302041
2008-03-10,0,-1,0.6096440026404513,47.6,-34.0,-1.4836265729508264,-0.06666666666666672,-0.5977018654500044,-27.845686695181996,0.014334166245093094
2008-03-18,-1,0,0.6096440026404513,47.6,-34.0,-1.4836265729508264,-0.06666666666666672,-0.09625895588471023,-27.845686695181996,-0.006259185965032721
2008-04-30,-1,-1,-0.4074294739200093,48.3,-64.0,-2.1366316050005687,-0.033333333333333215,-0.7333769932474974,-28.713677260583783,-0.049442048923192594
2008-06-25,0,-1,-0.4074294739200093,48.8,-208.5,-2.3431288016454834,-0.16666666666666666,-0.357960523579933,-31.732943742291422,-0.11598012864875873
2008-07-24,0,0,-0.4074294739200093,49.8,-174.0,-2.5809583512548255,-0.16666666666666666,-0.028721397933285653,-32.76825778360418,-0.03377762953315955
2008-08-05,0,0,0.5722953445686956,50.0,-183.5,-3.187479551395979,-0.2666666666666666,-0.006854201402496374,-34.377483423058784,-0.01142646187837748
2008-09-16,0,0,0.5722953445686956,49.2,-237.0,-4.311777670798847,-0.2333333333333331,-0.017299564088046893,-34.81952277534259,-0.026425375931025563
2008-09-29,0,0,0.5722953445686956,49.2,-237.0,-4.311777670798847,-0.2333333333333331,-0.007639750479791596,-34.81952277534259,-0.007656614844699483
2008-10-07,-1,0,0.5722953445686956,44.8,-369.0,-5.546203708811818,-0.16666666666666666,-0.0029789629323364597,-35.18620206798203,-0.004125435269589417
2008-10-29,-1,-1,0.5722953445686956,44.8,-369.0,-5.546203708811818,-0.16666666666666666,-0.10698654467056823,-35.18620206798203,-0.014641550264657077
2008-12-16,-1,-1,-0.5268929022154585,36.5,-604.0,-10.369050538949812,-0.2333333333333334,-0.1390599895313085,-37.38806139900194,-0.1322224383331232
2009-01-16,0,-1,-0.5268929022154585,33.1,-716.5,-11.329783170282855,-0.4000000000000001,-0.43319793326718414,-37.48134165903736,-0.23880690159406726
2009-01-28,0,0,-0.5268929022154585,33.1,-716.5,-11.329783170282855,-0.4000000000000001,-0.12116653284125839,-37.48134165903736,-0.10277950055659613
2009-02-07,0,0,-2.183097148093626,34.9,-745.0,-10.681558793118537,-0.4333333333333333,-0.04913574069378891,-38.87982946103394,-0.1347418393540467
2009-03-18,0,0,-2.183097148093626,35.5,-763.5,-9.932486362341322,-0.5000000000000003,-0.1555481650414763,-39.620369931851556,-0.5798919753006588
2009-04-29,0,0,-2.183097148093626,36.0,-771.5,-10.448340429214838,-0.4666666666666665,0.1674458145834631,-39.69213695641839,-0.583085170143514
2009-06-03,0,0,-1.165722530679672,39.5,-747.5,-10.843226405004819,-0.4000000000000001,0.007566683307026133,-39.48840996005859,-0.4147722683174626
2009-06-24,0,0,-1.165722530679672,41.7,-518.5,-10.37328981934267,-0.36666666666666653,0.0,-38.2596022585668,-0.24287518791147766
2009-08-12,0,0,-0.16923813866359957,49.9,-403.5,-7.990926436320436,-0.16666666666666666,0.0,-34.58141377147914,-0.5891759707098447
2009-09-23,0,0,-0.16923813866359957,53.5,-261.5,-6.434612220836485,-0.06666666666666643,0.0,-31.759730907617797,-0.5250021941738707
2009-11-04,0,0,0.361929990768889,56.0,-220.0,-4.694741485898099,-0.16666666666666666,0.0,-25.698768397421816,-0.4925978408622904
2009-12-16,0,0,0.361929990768889,54.4,-93.5,-1.7047499966467892,-0.10000000000000024,0.0,-22.72255166237709,-0.345129125773434
2010-01-27,0,0,0.361929990768889,55.3,-128.5,0.46596420285446427,-0.033333333333333215,0.0,-20.017217054920042,-0.2697188363823283
2010-03-16,0,0,1.0679619498303392,55.8,-45.0,0.6266577322085791,0.033333333333333215,0.0,-13.627153430819215,0.0
2010-04-28,0,0,1.0679619498303392,58.8,44.5,3.1318856077744166,0.0,0.0,-9.541745551680462,0.0
2010-05-09,0,0,0.500053481481906,58.1,206.0,5.294846101212984,-0.033333333333333215,0.0,-4.345960751645031,0.0
2010-06-23,0,0,0.500053481481906,58.3,385.5,4.7184771739262885,0.06666666666666703,0.0,-4.357218209710999,0.0
2010-08-10,0,0,0.9677046393262432,56.4,-111.5,2.853103600993685,0.16666666666666666,0.0,-6.056975191468845,0.0
2010-09-21,0,0,0.9677046393262432,58.0,-44.5,2.266076151825852,0.033333333333333215,0.0,-8.442628457339897,0.0
2010-10-15,0,0,0.9677046393262432,56.3,-35.0,3.385857817577012,-0.033333333333333215,0.0,-9.027723807689108,0.0
2010-11-03,0,0,0.7731441503026897,56.3,-35.0,3.385857817577012,-0.033333333333333215,0.0,-9.027723807689108,0.0
2010-12-14,0,0,0.7731441503026897,57.6,196.5,5.3392098852693515,-0.10000000000000024,0.0,-12.9565742441957,0.0
2011-01-26,0,0,0.7731441503026897,57.5,98.5,5.354604874957721,0.06666666666666643,0.0,-13.019496235997003,0.0
2011-03-15,0,0,0.5195951592372664,59.3,115.5,5.811821550636463,0.2666666666666669,0.0,-14.991038066848091,0.0
2011-04-27,0,0,0.5195951592372664,59.1,223.5,4.99079287955021,0.10000000000000024,0.0,-17.7951399877363,0.0
2011-06-22,0,0,-0.24091606810351815,53.7,207.5,3.530827618244893,0.0,0.0,-19.23700248496834,0.0
2011-08-01,0,0,0.6780507512058875,56.6,168.5,4.201768758017828,-0.033333333333333215,0.0,-17.48030397692457,0.0
2011-08-09,0,0,0.6780507512058875,52.9,148.0,4.43294192320018,0.033333333333333215,0.0,-14.502204652973964,0.0
2011-09-21,0,0,0.6780507512058875,53.0,93.0,3.977088017544982,0.0,0.0,-11.288516822824768,0.0
2011-11-02,0,0,-0.03876716265750793,52.8,179.5,3.784971569391662,0.033333333333333215,-0.005913800141475976,-10.140625048145266,0.00985633356912663
2011-11-28,0,0,-0.03876716265750793,51.8,218.5,3.775585439001671,0.06666666666666643,0.0,-7.21510698087462,0.0
2011-12-13,0,0,-0.03876716265750793,52.1,168.0,3.354297318712441,0.13333333333333344,0.0,-4.069075234842874,0.0
2012-01-25,0,0,-0.03876716265750793,53.1,167.0,2.9680521114989746,0.16666666666666666,0.005125293455945846,-3.070109348990485,0.0
2012-03-13,0,0,1.1216781834985816,52.4,308.0,3.487965159608313,0.09999999999999964,-0.043180811271544925,3.207676203065708,0.0732821965951251
2012-04-25,0,0,1.1216781834985816,53.0,251.0,3.5735153351998403,0.10000000000000024,-0.049750020320918506,6.479329746372795,0.08291670053486415
2012-06-20,0,0,0.8179228450998807,53.2,91.0,3.0183918544571187,0.033333333333333805,-0.04044523240651207,10.905724473752043,0.15880809756191255
2012-08-01,0,0,0.4558599868677108,51.0,86.5,2.3820771116149952,0.0,-0.008028509897204827,12.648458166542923,0.0965735845359279
2012-09-13,0,0,0.4558599868677108,51.1,162.0,2.686444872813293,0.033333333333333215,0.020512357667085424,15.93664266592068,0.09259925844718736
2012-10-24,0,0,0.4558599868677108,52.2,179.5,2.82354621302881,0.13333333333333316,0.01669270813419188,18.498782933782767,0.059894830750612194
2012-12-12,-1,0,0.17488297760156207,49.5,157.5,2.0106056430692605,0.13333333333333316,0.027722282939450324,19.325995832503352,0.05902505541523251
2013-01-30,0,-1,0.17488297760156207,50.4,197.5,2.427611589691483,-0.03333333333333351,0.0032997154647516624,20.359960054177844,0.0670553816119408
2013-03-20,0,0,0.10983806746418219,53.1,234.5,2.2854085010745875,0.0,0.03589378916095521,21.242409985094394,-0.08676441054246553
