date,fxusdcad_FXUSDCAD_rsi,fomc_statement_sentiment_last_week,canada_bank_sentiment_last_week,fomc_testimony_sentiment_last_week
2020-08-11,1.3291,0.1361283643892339,-0.1553891786572907,0.4073309748427672
2020-08-12,1.3254,0.144927536231884,-0.1541724624749479,0.4162735849056603
2020-08-13,1.3217,0.1537267080745341,-0.1529557462926051,0.4252161949685534
2020-08-14,1.325,0.1625258799171842,-0.1517390301102622,0.4341588050314465
2020-08-15,1.3235666666666666,0.1713250517598343,-0.1505223139279194,0.4431014150943396
2020-08-16,1.3221333333333334,0.1801242236024844,-0.1493055977455765,0.4520440251572327
2020-08-17,1.3207,0.1889233954451346,-0.1480888815632337,0.4609866352201257
2020-08-18,1.317,0.1977225672877847,-0.1468721653808909,0.4699292452830188
2020-08-19,1.3171,0.2065217391304347,-0.1456554491985481,0.4788718553459119
2020-08-20,1.3195,0.2153209109730848,-0.1444387330162052,0.487814465408805
2020-08-21,1.3205,0.2241200828157349,-0.1432220168338624,0.4967570754716981
2020-08-22,1.3205666666666669,0.2329192546583851,-0.1420053006515196,0.5056996855345912
2020-08-23,1.320633333333333,0.2417184265010352,-0.1407885844691767,0.5146422955974843
2020-08-24,1.3207,0.2505175983436853,-0.1395718682868339,0.5235849056603773
2020-08-25,1.3194,0.2593167701863354,-0.138355152104491,0.5325275157232704
2020-08-26,1.3155,0.2681159420289855,-0.1371384359221482,0.5414701257861635
2020-08-27,1.3129,0.2769151138716356,-0.1359217197398054,0.5504127358490566
2020-08-28,1.3097,0.2857142857142857,-0.1347050035574625,0.5593553459119497
2020-08-29,1.3078666666666667,0.2857142857142857,-0.1334882873751197,0.5682979559748428
2020-08-30,1.3060333333333334,0.2857142857142857,-0.1322715711927769,0.5772405660377359
2020-08-31,1.3042,0.2857142857142857,-0.131054855010434,0.586183176100629
2020-09-01,1.3055,0.2857142857142857,-0.1298381388280912,0.595125786163522
2020-09-02,1.3067,0.2857142857142857,-0.1286214226457483,0.6040683962264151
2020-09-03,1.3123,0.2857142857142857,-0.1274047064634055,0.6130110062893082
2020-09-04,1.3089,0.2755102040816326,-0.1261879902810627,0.6219536163522013
2020-09-05,1.31145,0.2653061224489795,-0.1249712740987198,0.6308962264150944
2020-09-06,1.314,0.2551020408163265,-0.123754557916377,0.6398388364779873
2020-09-07,1.31655,0.2448979591836734,-0.1225378417340342,0.6487814465408804
2020-09-08,1.3191,0.2346938775510204,-0.1213211255516913,0.6577240566037735
2020-09-09,1.3173,0.2244897959183673,-0.1201044093693485,0.6666666666666666
2020-09-10,1.3162,0.2142857142857142,-0.1188876931870057,0.6666666666666666
2020-09-11,1.3186,0.2040816326530612,-0.1176709770046628,0.6666666666666666
2020-09-12,1.3182333333333334,0.1938775510204081,-0.11645426082232,0.6666666666666666
2020-09-13,1.3178666666666663,0.183673469387755,-0.1152375446399772,0.6666666666666666
2020-09-14,1.3175,0.173469387755102,-0.1140208284576343,0.6666666666666666
2020-09-15,1.3176,0.1632653061224489,-0.1128041122752915,0.6666666666666666
2020-09-16,1.3168,0.1530612244897959,-0.1115873960929487,0.4188034188034187
2020-09-17,1.32,0.1428571428571428,-0.1103706799106058,0.1709401709401709
2020-09-18,1.3186,0.1428571428571428,-0.109153963728263,-0.0769230769230769
2020-09-19,1.3221666666666667,0.1428571428571428,-0.1079372475459202,-0.0769230769230769
2020-09-20,1.3257333333333332,0.1428571428571428,-0.1067205313635773,-0.0769230769230769
2020-09-21,1.3293,0.1428571428571428,-0.1055038151812345,-0.0769230769230769
2020-09-22,1.331,0.1428571428571428,-0.1042870989988917,-0.0769230769230769
2020-09-23,1.3358,0.1428571428571428,-0.1030703828165488,-0.0262664165103189
2020-09-24,1.3374,0.1415559772296015,-0.101853666634206,-0.0262664165103189
2020-09-25,1.3396,0.1402548116020601,-0.1006369504518631,0.024390243902439
2020-09-26,1.339,0.1389536459745188,-0.0994202342695203,0.024390243902439
2020-09-27,1.3384,0.1376524803469775,-0.0982035180871775,0.024390243902439
2020-09-28,1.3378,0.1363513147194361,-0.0969868019048346,0.024390243902439
2020-09-29,1.3391,0.1350501490918948,-0.0957700857224918,0.024390243902439
2020-09-30,1.3339,0.1337489834643535,-0.094553369540149,0.0216652729941348
2020-10-01,1.3292,0.1324478178368121,-0.0933366533578061,0.0189403020858307
2020-10-02,1.331,0.1311466522092708,-0.0921199371754633,0.0162153311775265
2020-10-03,1.3296333333333332,0.1298454865817294,-0.0909032209931205,0.0134903602692224
2020-10-04,1.3282666666666667,0.1285443209541881,-0.0896865048107776,0.0107653893609183
2020-10-05,1.3269,0.1272431553266468,-0.0884697886284348,0.0080404184526141
2020-10-06,1.3272,0.1259419896991054,-0.087253072446092,0.00531544754431
2020-10-07,1.3275,0.1246408240715641,-0.0860363562637491,0.0025904766360058
2020-10-08,1.322,0.1233396584440227,-0.0848196400814063,-0.0001344942722982
2020-10-09,1.3136,0.1220384928164814,-0.0836029238990635,-0.0028594651806024
2020-10-10,1.313525,0.12073732718894,-0.0823862077167206,-0.0055844360889065
2020-10-11,1.31345,0.1194361615613987,-0.0811694915343778,-0.0083094069972107
2020-10-12,1.313375,0.1181349959338574,-0.079952775352035,-0.0110343779055148
2020-10-13,1.3133,0.116833830306316,-0.0787360591696921,-0.0137593488138189
2020-10-14,1.3139,0.1155326646787747,-0.0775193429873493,-0.0164843197221231
2020-10-15,1.323,0.1142314990512333,-0.0763026268050064,-0.0192092906304272
2020-10-16,1.3192,0.112930333423692,-0.0750859106226636,-0.0219342615387314
2020-10-17,1.3183,0.1116291677961507,-0.0738691944403208,-0.0246592324470355
2020-10-18,1.3174,0.1103280021686093,-0.0726524782579779,-0.0273842033553397
2020-10-19,1.3165,0.109026836541068,-0.0714357620756351,-0.0301091742636438
2020-10-20,1.3138,0.1077256709135267,-0.0702190458932923,-0.032834145171948
2020-10-21,1.3122,0.1064245052859853,-0.0690023297109495,-0.0355591160802521
2020-10-22,1.3142,0.105123339658444,-0.0677856135286066,-0.0382840869885562
2020-10-23,1.314,0.1038221740309026,-0.0665688973462638,-0.0410090578968604
2020-10-24,1.3160333333333334,0.1025210084033613,-0.0653521811639209,-0.0437340288051645
2020-10-25,1.3180666666666667,0.10121984277582,-0.0641354649815781,-0.0464589997134687
2020-10-26,1.3201,0.0999186771482786,-0.0629187487992353,-0.0491839706217728
2020-10-27,1.3164,0.0986175115207373,-0.0617020326168924,-0.051908941530077
2020-10-28,1.3302,0.0973163458931959,-0.0604853164345496,-0.0546339124383811
2020-10-29,1.3349,0.0960151802656546,-0.0592686002522068,-0.0573588833466853
2020-10-30,1.3318,0.0947140146381133,-0.0592686002522068,-0.0600838542549894
2020-10-31,1.3297666666666668,0.0934128490105719,-0.0592686002522068,-0.0628088251632935
2020-11-01,1.3277333333333334,0.0921116833830306,-0.0592686002522068,-0.0655337960715977
2020-11-02,1.3257,0.0908105177554892,-0.0592686002522068,-0.0682587669799018
2020-11-03,1.3145,0.0895093521279479,-0.0592686002522068,-0.070983737888206
2020-11-04,1.3138,0.0882081865004066,-0.0592686002522068,-0.0737087087965101
2020-11-05,1.3051,0.0869070208728652,-0.0578030301007729,-0.0764336797048143
2020-11-06,1.3039,0.0856058552453239,-0.0563374599493391,-0.0791586506131184
2020-11-07,1.3016,0.0843046896177825,-0.0548718897979052,-0.0818836215214225
2020-11-08,1.2993,0.0830035239902412,-0.0534063196464714,-0.0846085924297267
2020-11-09,1.297,0.0817023583626999,-0.0519407494950375,-0.0873335633380308
2020-11-10,1.3017,0.0804011927351585,-0.0504751793436037,-0.090058534246335
2020-11-11,1.307,0.0791000271076172,-0.0490096091921699,-0.0927835051546391
2020-11-12,1.3123,0.0777988614800759,-0.047544039040736,-0.0927835051546391
2020-11-13,1.3147,0.0764976958525345,-0.0460784688893022,-0.0927835051546391
2020-11-14,1.312633333333333,0.0751965302249932,-0.0446128987378683,-0.0927835051546391
2020-11-15,1.3105666666666669,0.0738953645974518,-0.0431473285864345,-0.0927835051546391
2020-11-16,1.3085,0.0725941989699105,-0.0416817584350006,-0.0927835051546391
2020-11-17,1.3094,0.0712930333423692,-0.0402161882835668,-0.0927835051546391
2020-11-18,1.3063,0.0699918677148278,-0.0387506181321329,-0.0824953740417658
2020-11-19,1.3083,0.0686907020872865,-0.0372850479806991,-0.0722072429288924
2020-11-20,1.3071,0.0673895364597451,-0.0358194778292653,-0.061919111816019
2020-11-21,1.3074666666666666,0.0660883708322038,-0.0343539076778314,-0.0516309807031456
2020-11-22,1.3078333333333334,0.0647872052046625,-0.0328883375263976,-0.0413428495902722
